,,0,1,2,3,4
555,103,1,1,1,1,1
555,136,1,1,1,1,1
555,153,1,1,1,1,1
562,15,1,1,1,1,1
562,18,1,1,1,1,1
562,24,1,1,1,1,1
562,32,1,1,1,1,1
562,59,1,1,1,1,1
562,60,1,1,1,1,1
562,68,1,1,1,1,1
562,80,1,1,1,1,1
562,97,1,1,1,1,1
562,110,1,1,1,1,1
562,111,1,1,1,1,1
562,120,1,1,1,1,1
562,130,1,1,1,1,1
562,180,1,1,1,1,1
567,14,1,1,1,1,1
567,16,1,1,1,1,1
567,46,1,1,1,1,1
567,58,1,1,1,1,1
567,103,1,1,1,1,1
567,136,1,1,1,1,1
567,153,1,1,1,1,1
572,4,1,1,1,1,1
572,53,1,1,1,1,1
572,105,1,1,1,1,1
572,156,1,1,1,1,1
572,157,1,1,1,1,1
572,187,1,1,1,1,1
587,87,1,1,1,1,1
587,93,1,1,1,1,1
587,107,1,1,1,1,1
587,137,1,1,1,1,1
587,170,1,1,1,1,1
587,185,1,1,1,1,1
603,9,1,1,1,1,1
603,19,1,1,1,1,1
603,96,1,1,1,1,1
603,101,1,1,1,1,1
603,182,1,1,1,1,1
613,63,1,1,1,1,1
613,76,1,1,1,1,1
613,108,1,1,1,1,1
613,138,1,1,1,1,1
613,139,1,1,1,1,1
613,171,1,1,1,1,1
616,66,1,1,1,1,1
616,70,1,1,1,1,1
616,99,1,1,1,1,1
616,119,1,1,1,1,1
616,121,1,1,1,1,1
616,129,1,1,1,1,1
616,140,1,1,1,1,1
629,15,1,1,1,1,1
629,18,1,1,1,1,1
629,24,1,1,1,1,1
629,32,1,1,1,1,1
629,59,1,1,1,1,1
629,60,1,1,1,1,1
629,68,1,1,1,1,1
629,80,1,1,1,1,1
629,97,1,1,1,1,1
629,110,1,1,1,1,1
629,111,1,1,1,1,1
629,120,1,1,1,1,1
629,130,1,1,1,1,1
629,180,1,1,1,1,1
632,4,1,1,1,1,1
632,53,1,1,1,1,1
632,105,1,1,1,1,1
632,156,1,1,1,1,1
632,157,1,1,1,1,1
632,187,1,1,1,1,1
636,1,1,1,1,1,1
636,28,1,1,1,1,1
636,67,1,1,1,1,1
636,79,1,1,1,1,1
636,165,1,1,1,1,1
662,41,1,1,1,1,1
662,43,1,1,1,1,1
662,48,1,1,1,1,1
662,49,1,1,1,1,1
662,88,1,1,1,1,1
662,160,1,1,1,1,1
662,166,1,1,1,1,1
665,20,1,1,1,1,1
665,57,1,1,1,1,1
665,62,1,1,1,1,1
665,77,1,1,1,1,1
665,86,1,1,1,1,1
665,100,1,1,1,1,1
665,117,1,1,1,1,1
665,146,1,1,1,1,1
665,155,1,1,1,1,1
665,176,1,1,1,1,1
665,183,1,1,1,1,1
666,33,1,1,1,1,1
666,47,1,1,1,1,1
666,55,1,1,1,1,1
666,75,1,1,1,1,1
666,82,1,1,1,1,1
666,115,1,1,1,1,1
666,116,1,1,1,1,1
666,124,1,1,1,1,1
666,142,1,1,1,1,1
666,145,1,1,1,1,1
666,147,1,1,1,1,1
666,162,1,1,1,1,1
666,169,1,1,1,1,1
675,179,1,1,1,1,1
689,2,1,1,1,1,1
689,13,1,1,1,1,1
689,81,1,1,1,1,1
689,84,1,1,1,1,1
689,164,1,1,1,1,1
689,167,1,1,1,1,1
689,184,1,1,1,1,1
689,193,1,1,1,1,1
702,15,1,1,1,1,1
702,18,1,1,1,1,1
702,24,1,1,1,1,1
702,32,1,1,1,1,1
702,59,1,1,1,1,1
702,60,1,1,1,1,1
702,68,1,1,1,1,1
702,80,1,1,1,1,1
702,97,1,1,1,1,1
702,110,1,1,1,1,1
702,111,1,1,1,1,1
702,120,1,1,1,1,1
702,130,1,1,1,1,1
702,180,1,1,1,1,1
721,33,1,1,1,1,1
721,47,1,1,1,1,1
721,55,1,1,1,1,1
721,75,1,1,1,1,1
721,82,1,1,1,1,1
721,115,1,1,1,1,1
721,116,1,1,1,1,1
721,124,1,1,1,1,1
721,142,1,1,1,1,1
721,145,1,1,1,1,1
721,147,1,1,1,1,1
721,162,1,1,1,1,1
721,169,1,1,1,1,1
722,14,1,1,1,1,1
722,16,1,1,1,1,1
722,46,1,1,1,1,1
722,58,1,1,1,1,1
722,103,1,1,1,1,1
722,136,1,1,1,1,1
